/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step    8750 | cos 0.5414 | thought 0.9207 dec_ce 1.8946 | 5.3 it/s
step    8800 | cos 0.5468 | thought 0.9183 dec_ce 2.05 | 5.3 it/s
step    8850 | cos 0.5402 | thought 0.9313 dec_ce 2.0249 | 5.3 it/s
step    8900 | cos 0.5411 | thought 0.9559 dec_ce 1.9517 | 5.4 it/s
step    8950 | cos 0.5390 | thought 0.9311 dec_ce 1.9994 | 5.3 it/s
step    9000 | cos 0.5444 | thought 0.8941 dec_ce 1.9333 | 5.3 it/s
step    9050 | cos 0.5445 | thought 0.8662 dec_ce 1.8709 | 5.3 it/s
step    9100 | cos 0.5420 | thought 0.8876 dec_ce 1.8835 | 5.2 it/s
step    9150 | cos 0.5455 | thought 0.9017 dec_ce 1.9333 | 5.3 it/s
step    9200 | cos 0.5442 | thought 0.867 dec_ce 1.8237 | 5.4 it/s
step    9250 | cos 0.5466 | thought 0.9174 dec_ce 1.955 | 5.5 it/s
step    9300 | cos 0.5459 | thought 0.93 dec_ce 1.9865 | 5.3 it/s
step    9350 | cos 0.5443 | thought 0.9444 dec_ce 1.9095 | 5.3 it/s
step    9400 | cos 0.5424 | thought 0.9088 dec_ce 1.871 | 5.4 it/s
step    9450 | cos 0.5403 | thought 0.9003 dec_ce 1.9382 | 5.5 it/s
step    9500 | cos 0.5412 | thought 0.9333 dec_ce 2.0171 | 5.4 it/s
step    9550 | cos 0.5445 | thought 0.913 dec_ce 1.883 | 5.3 it/s
step    9600 | cos 0.5429 | thought 0.8939 dec_ce 1.914 | 5.3 it/s
step    9650 | cos 0.5461 | thought 0.9215 dec_ce 1.8568 | 5.5 it/s
step    9700 | cos 0.5440 | thought 0.9292 dec_ce 1.938 | 5.6 it/s
step    9750 | cos 0.5473 | thought 0.9144 dec_ce 1.8957 | 5.5 it/s
step    9800 | cos 0.5438 | thought 0.9003 dec_ce 2.0458 | 5.4 it/s
step    9850 | cos 0.5461 | thought 0.8875 dec_ce 1.9494 | 5.4 it/s
step    9900 | cos 0.5443 | thought 0.9429 dec_ce 2.0043 | 5.5 it/s
step    9950 | cos 0.5463 | thought 0.9569 dec_ce 2.0263 | 5.6 it/s
step   10000 | cos 0.5434 | thought 0.9286 dec_ce 2.0322 | 5.6 it/s
step   10000 | VAL cos 0.5490 | VAL dec CE 3.7367
step   10050 | cos 0.5452 | thought 0.9095 dec_ce 1.982 | 4.3 it/s
step   10100 | cos 0.5441 | thought 0.8959 dec_ce 1.8727 | 5.4 it/s
step   10150 | cos 0.5442 | thought 0.8935 dec_ce 1.968 | 5.4 it/s
step   10200 | cos 0.5442 | thought 0.9428 dec_ce 2.0058 | 5.6 it/s
step   10250 | cos 0.5461 | thought 0.9383 dec_ce 1.9781 | 5.5 it/s
step   10300 | cos 0.5454 | thought 0.9069 dec_ce 1.8177 | 5.5 it/s
step   10350 | cos 0.5486 | thought 0.9121 dec_ce 2.0576 | 5.4 it/s
step   10400 | cos 0.5453 | thought 0.8791 dec_ce 1.8977 | 5.3 it/s
step   10450 | cos 0.5467 | thought 0.9434 dec_ce 1.9682 | 5.6 it/s
step   10500 | cos 0.5454 | thought 0.8668 dec_ce 1.8191 | 5.7 it/s
step   10550 | cos 0.5465 | thought 0.8891 dec_ce 1.8456 | 5.3 it/s
step   10600 | cos 0.5442 | thought 0.8658 dec_ce 1.8848 | 5.4 it/s
