/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.07M (codec d=384, frozen=True)
step    7800 | cos 0.5348 | thought 0.9554 dec_ce 1.9839 | 3.2 it/s
step    7850 | cos 0.5374 | thought 0.9601 dec_ce 1.9992 | 3.2 it/s
step    7900 | cos 0.5362 | thought 0.9234 dec_ce 1.9058 | 3.2 it/s
step    7950 | cos 0.5370 | thought 0.9148 dec_ce 1.9189 | 3.2 it/s
step    8000 | cos 0.5351 | thought 0.9413 dec_ce 1.9997 | 3.1 it/s
step    8000 | VAL cos 0.5395 | VAL dec CE 3.8485
step    8050 | cos 0.5358 | thought 0.9391 dec_ce 1.9829 | 2.6 it/s
step    8100 | cos 0.5390 | thought 0.9177 dec_ce 1.9014 | 3.2 it/s
step    8150 | cos 0.5359 | thought 0.9583 dec_ce 2.0655 | 3.1 it/s
step    8200 | cos 0.5382 | thought 0.9357 dec_ce 1.9663 | 3.2 it/s
step    8250 | cos 0.5400 | thought 0.9365 dec_ce 2.0108 | 3.2 it/s
step    8300 | cos 0.5392 | thought 0.9642 dec_ce 1.9828 | 3.2 it/s
step    8350 | cos 0.5373 | thought 0.8808 dec_ce 1.7162 | 3.2 it/s
step    8400 | cos 0.5393 | thought 0.8956 dec_ce 1.8901 | 3.2 it/s
step    8450 | cos 0.5382 | thought 0.9167 dec_ce 1.8935 | 3.2 it/s
step    8500 | cos 0.5393 | thought 0.9444 dec_ce 1.9361 | 3.2 it/s
step    8550 | cos 0.5370 | thought 0.8973 dec_ce 1.9017 | 3.2 it/s
step    8600 | cos 0.5373 | thought 0.9405 dec_ce 1.9796 | 3.1 it/s
step    8650 | cos 0.5395 | thought 0.9249 dec_ce 1.9418 | 3.1 it/s
step    8700 | cos 0.5378 | thought 0.9446 dec_ce 2.0377 | 3.2 it/s
step    8750 | cos 0.5401 | thought 0.9314 dec_ce 1.9229 | 3.2 it/s
step    8800 | cos 0.5393 | thought 0.8945 dec_ce 1.8544 | 3.2 it/s
step    8850 | cos 0.5375 | thought 0.8841 dec_ce 1.8418 | 3.2 it/s
step    8900 | cos 0.5395 | thought 0.8548 dec_ce 1.7513 | 3.2 it/s
step    8950 | cos 0.5382 | thought 0.9383 dec_ce 2.033 | 3.2 it/s
step    9000 | cos 0.5386 | thought 0.9197 dec_ce 1.8756 | 3.2 it/s
step    9050 | cos 0.5383 | thought 0.949 dec_ce 2.0152 | 3.1 it/s
step    9100 | cos 0.5409 | thought 0.9316 dec_ce 1.937 | 3.2 it/s
step    9150 | cos 0.5406 | thought 0.9118 dec_ce 1.9172 | 3.2 it/s
step    9200 | cos 0.5379 | thought 0.9265 dec_ce 1.8949 | 3.1 it/s
step    9250 | cos 0.5361 | thought 0.9536 dec_ce 1.9231 | 3.2 it/s
step    9300 | cos 0.5384 | thought 0.9151 dec_ce 1.8782 | 3.2 it/s
step    9350 | cos 0.5361 | thought 0.9013 dec_ce 1.868 | 3.2 it/s
step    9400 | cos 0.5414 | thought 0.9696 dec_ce 2.0084 | 3.2 it/s
step    9450 | cos 0.5376 | thought 0.935 dec_ce 1.9473 | 3.2 it/s
step    9500 | cos 0.5383 | thought 0.9253 dec_ce 1.8853 | 3.1 it/s
step    9550 | cos 0.5383 | thought 0.9651 dec_ce 1.9858 | 3.1 it/s
step    9600 | cos 0.5367 | thought 0.9246 dec_ce 1.8737 | 3.1 it/s
step    9650 | cos 0.5385 | thought 0.9081 dec_ce 1.8387 | 3.1 it/s
step    9700 | cos 0.5379 | thought 0.9229 dec_ce 1.9873 | 3.1 it/s
step    9750 | cos 0.5409 | thought 0.9248 dec_ce 2.0076 | 3.1 it/s
step    9800 | cos 0.5393 | thought 0.9523 dec_ce 1.9339 | 3.2 it/s
step    9850 | cos 0.5407 | thought 0.9232 dec_ce 1.9268 | 3.1 it/s
step    9900 | cos 0.5377 | thought 0.9145 dec_ce 1.9128 | 3.2 it/s
step    9950 | cos 0.5404 | thought 0.9122 dec_ce 1.9211 | 3.2 it/s
step   10000 | cos 0.5363 | thought 0.9245 dec_ce 1.8971 | 3.1 it/s
step   10000 | VAL cos 0.5407 | VAL dec CE 3.8340
step   10050 | cos 0.5379 | thought 0.9219 dec_ce 1.9262 | 2.5 it/s
step   10100 | cos 0.5388 | thought 0.9611 dec_ce 2.0399 | 3.2 it/s
step   10150 | cos 0.5392 | thought 0.9405 dec_ce 1.9204 | 3.1 it/s
step   10200 | cos 0.5408 | thought 0.9291 dec_ce 1.9231 | 3.2 it/s
step   10250 | cos 0.5379 | thought 0.9284 dec_ce 1.9197 | 3.1 it/s
step   10300 | cos 0.5397 | thought 0.9108 dec_ce 1.8418 | 3.2 it/s
step   10350 | cos 0.5397 | thought 0.9429 dec_ce 2.0059 | 3.1 it/s
step   10400 | cos 0.5373 | thought 0.9306 dec_ce 1.8935 | 3.2 it/s
step   10450 | cos 0.5391 | thought 0.9204 dec_ce 2.0074 | 3.2 it/s
step   10500 | cos 0.5391 | thought 0.9081 dec_ce 1.8779 | 3.2 it/s
step   10550 | cos 0.5420 | thought 0.9259 dec_ce 1.9131 | 3.1 it/s
step   10600 | cos 0.5398 | thought 0.8972 dec_ce 1.8504 | 3.2 it/s
step   10650 | cos 0.5424 | thought 0.9282 dec_ce 2.0091 | 3.2 it/s
step   10700 | cos 0.5403 | thought 0.9481 dec_ce 1.9947 | 3.1 it/s
step   10750 | cos 0.5386 | thought 0.8908 dec_ce 1.8231 | 3.2 it/s
step   10800 | cos 0.5406 | thought 0.9247 dec_ce 1.9426 | 3.1 it/s
step   10850 | cos 0.5383 | thought 0.9149 dec_ce 1.916 | 3.2 it/s
step   10900 | cos 0.5430 | thought 0.9018 dec_ce 1.9408 | 3.1 it/s
step   10950 | cos 0.5420 | thought 0.9488 dec_ce 2.0027 | 3.1 it/s
step   11000 | cos 0.5422 | thought 0.8934 dec_ce 1.8214 | 3.1 it/s
step   11050 | cos 0.5407 | thought 0.9259 dec_ce 1.9334 | 3.1 it/s
step   11100 | cos 0.5422 | thought 0.8906 dec_ce 1.9145 | 3.1 it/s
step   11150 | cos 0.5402 | thought 0.922 dec_ce 1.9197 | 3.1 it/s
step   11200 | cos 0.5406 | thought 0.9044 dec_ce 1.8754 | 3.1 it/s
step   11250 | cos 0.5419 | thought 0.9447 dec_ce 1.949 | 3.1 it/s
step   11300 | cos 0.5383 | thought 0.8989 dec_ce 1.8376 | 3.1 it/s
step   11350 | cos 0.5423 | thought 0.9095 dec_ce 1.9369 | 3.1 it/s
step   11400 | cos 0.5431 | thought 0.8952 dec_ce 1.8964 | 3.1 it/s
step   11450 | cos 0.5368 | thought 0.9074 dec_ce 1.7921 | 3.1 it/s
step   11500 | cos 0.5397 | thought 0.9382 dec_ce 1.9587 | 3.2 it/s
step   11550 | cos 0.5419 | thought 0.9182 dec_ce 1.9707 | 3.1 it/s
step   11600 | cos 0.5421 | thought 0.9053 dec_ce 1.8391 | 3.2 it/s
step   11650 | cos 0.5408 | thought 0.944 dec_ce 1.9611 | 3.2 it/s
step   11700 | cos 0.5415 | thought 0.8971 dec_ce 1.9296 | 3.2 it/s
step   11750 | cos 0.5410 | thought 0.8858 dec_ce 1.8486 | 3.1 it/s
step   11800 | cos 0.5432 | thought 0.9002 dec_ce 1.9053 | 3.2 it/s
step   11850 | cos 0.5422 | thought 0.9235 dec_ce 1.9552 | 3.2 it/s
step   11900 | cos 0.5417 | thought 0.9475 dec_ce 2.03 | 3.2 it/s
step   11950 | cos 0.5407 | thought 0.9148 dec_ce 1.8651 | 3.1 it/s
step   12000 | cos 0.5388 | thought 0.919 dec_ce 1.8754 | 3.1 it/s
step   12000 | VAL cos 0.5420 | VAL dec CE 3.8249
step   12050 | cos 0.5419 | thought 0.9803 dec_ce 2.0713 | 2.6 it/s
step   12100 | cos 0.5423 | thought 0.9362 dec_ce 2.0051 | 3.2 it/s
step   12150 | cos 0.5429 | thought 0.9344 dec_ce 1.9547 | 3.1 it/s
step   12200 | cos 0.5406 | thought 0.9268 dec_ce 1.9879 | 3.1 it/s
step   12250 | cos 0.5451 | thought 0.9112 dec_ce 1.9752 | 3.2 it/s
step   12300 | cos 0.5421 | thought 0.9317 dec_ce 1.9105 | 3.1 it/s
step   12350 | cos 0.5421 | thought 0.9421 dec_ce 1.9747 | 3.2 it/s
step   12400 | cos 0.5414 | thought 0.9214 dec_ce 1.9385 | 3.1 it/s
step   12450 | cos 0.5400 | thought 0.919 dec_ce 1.8562 | 3.1 it/s
step   12500 | cos 0.5421 | thought 0.8984 dec_ce 1.8829 | 3.1 it/s
step   12550 | cos 0.5440 | thought 0.9379 dec_ce 1.9362 | 3.1 it/s
step   12600 | cos 0.5437 | thought 0.9045 dec_ce 1.8079 | 3.1 it/s
step   12650 | cos 0.5413 | thought 0.9093 dec_ce 1.862 | 3.2 it/s
step   12700 | cos 0.5388 | thought 0.9292 dec_ce 1.9639 | 3.0 it/s
step   12750 | cos 0.5407 | thought 0.9026 dec_ce 1.8515 | 3.1 it/s
step   12800 | cos 0.5383 | thought 0.9111 dec_ce 1.9575 | 3.1 it/s
step   12850 | cos 0.5394 | thought 0.946 dec_ce 1.9677 | 3.1 it/s
step   12900 | cos 0.5429 | thought 0.9269 dec_ce 1.9204 | 3.2 it/s
step   12950 | cos 0.5400 | thought 0.9279 dec_ce 1.896 | 3.2 it/s
step   13000 | cos 0.5403 | thought 0.9369 dec_ce 1.954 | 3.1 it/s
step   13050 | cos 0.5419 | thought 0.9125 dec_ce 1.8279 | 3.1 it/s
step   13100 | cos 0.5458 | thought 0.932 dec_ce 1.9135 | 3.1 it/s
step   13150 | cos 0.5420 | thought 0.9328 dec_ce 1.9845 | 3.1 it/s
step   13200 | cos 0.5443 | thought 0.9179 dec_ce 1.8943 | 3.2 it/s
step   13250 | cos 0.5418 | thought 0.8948 dec_ce 1.8235 | 3.1 it/s
step   13300 | cos 0.5450 | thought 0.9087 dec_ce 1.9279 | 3.1 it/s
step   13350 | cos 0.5417 | thought 0.9462 dec_ce 1.954 | 3.1 it/s
step   13400 | cos 0.5439 | thought 0.9188 dec_ce 2.1143 | 3.2 it/s
step   13450 | cos 0.5416 | thought 0.948 dec_ce 1.9413 | 3.1 it/s
step   13500 | cos 0.5439 | thought 0.9347 dec_ce 1.9645 | 3.2 it/s
step   13550 | cos 0.5425 | thought 0.9414 dec_ce 1.9831 | 3.0 it/s
step   13600 | cos 0.5405 | thought 0.9344 dec_ce 2.019 | 3.1 it/s
step   13650 | cos 0.5451 | thought 0.9107 dec_ce 1.9316 | 3.1 it/s
step   13700 | cos 0.5440 | thought 0.8973 dec_ce 1.7989 | 3.1 it/s
step   13750 | cos 0.5440 | thought 0.9292 dec_ce 1.9632 | 3.1 it/s
step   13800 | cos 0.5436 | thought 0.9544 dec_ce 2.0063 | 3.2 it/s
step   13850 | cos 0.5428 | thought 0.9104 dec_ce 1.8597 | 3.1 it/s
step   13900 | cos 0.5438 | thought 0.8859 dec_ce 1.7827 | 3.1 it/s
step   13950 | cos 0.5422 | thought 0.9064 dec_ce 1.8342 | 3.1 it/s
step   14000 | cos 0.5430 | thought 0.9253 dec_ce 1.9243 | 3.1 it/s
step   14000 | VAL cos 0.5440 | VAL dec CE 3.8125
step   14050 | cos 0.5417 | thought 0.904 dec_ce 1.9103 | 2.6 it/s
step   14100 | cos 0.5427 | thought 0.9461 dec_ce 1.9811 | 3.1 it/s
step   14150 | cos 0.5448 | thought 0.9149 dec_ce 1.8691 | 3.1 it/s
step   14200 | cos 0.5454 | thought 0.9003 dec_ce 1.8453 | 3.1 it/s
step   14250 | cos 0.5429 | thought 0.9052 dec_ce 1.9063 | 3.1 it/s
step   14300 | cos 0.5436 | thought 0.9416 dec_ce 1.9981 | 3.2 it/s
step   14350 | cos 0.5414 | thought 0.9971 dec_ce 2.0112 | 3.1 it/s
step   14400 | cos 0.5449 | thought 0.9194 dec_ce 1.8849 | 3.1 it/s
step   14450 | cos 0.5471 | thought 0.9281 dec_ce 1.9239 | 3.2 it/s
step   14500 | cos 0.5415 | thought 0.9563 dec_ce 2.0739 | 3.1 it/s
step   14550 | cos 0.5458 | thought 0.9146 dec_ce 1.8723 | 3.0 it/s
step   14600 | cos 0.5456 | thought 0.8913 dec_ce 1.8823 | 3.2 it/s
step   14650 | cos 0.5455 | thought 0.9088 dec_ce 1.8389 | 3.2 it/s
step   14700 | cos 0.5421 | thought 0.892 dec_ce 1.8721 | 3.1 it/s
step   14750 | cos 0.5430 | thought 0.9162 dec_ce 2.0076 | 3.1 it/s
step   14800 | cos 0.5452 | thought 0.9249 dec_ce 1.9388 | 3.2 it/s
step   14850 | cos 0.5426 | thought 0.9 dec_ce 1.8186 | 3.1 it/s
step   14900 | cos 0.5443 | thought 0.947 dec_ce 2.0704 | 3.1 it/s
step   14950 | cos 0.5460 | thought 0.8733 dec_ce 1.7539 | 3.1 it/s
step   15000 | cos 0.5438 | thought 0.9329 dec_ce 1.9275 | 3.1 it/s
step   15050 | cos 0.5436 | thought 0.9024 dec_ce 1.8853 | 3.0 it/s
step   15100 | cos 0.5446 | thought 0.8982 dec_ce 1.8682 | 3.2 it/s
